TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
9570409054	2.16.840.1.113883.6.5.2.1	V23.82		
9534760054	2.16.840.1.113883.6.5.2.1	295.75		
6529054	2.16.840.1.113883.6.5.2.1	618.6		
7237054	2.16.840.1.113883.6.5.2.1	742.3		
4652057	2.16.840.1.113883.6.5.2.1	275.1		
9554885058	2.16.840.1.113883.6.5.2.1	E906.5		
9549850053	2.16.840.1.113883.6.5.2.1	618.00		
6648055	2.16.840.1.113883.6.5.2.1	641.00		
2141050	2.16.840.1.113883.6.5.2.1	808.8		
5089053	2.16.840.1.113883.6.5.2.1	362.53		
1434051	2.16.840.1.113883.6.5.2.1	707.9		
6750056	2.16.840.1.113883.6.5.2.1	664.20		
1071055	2.16.840.1.113883.6.5.2.1	526.89		
1132056	2.16.840.1.113883.6.5.2.1	573.9		
6406056	2.16.840.1.113883.6.5.2.1	590.00		
365053	2.16.840.1.113883.6.5.2.1	282.9		
2170059	2.16.840.1.113883.6.5.2.1	813.22		
9542092059	2.16.840.1.113883.6.5.2.1	633.10		
5405054	2.16.840.1.113883.6.5.2.1	374.21		
1610053	2.16.840.1.113883.6.5.2.1	732.1		
7899056	2.16.840.1.113883.6.5.2.1	823.02		
7111057	2.16.840.1.113883.6.5.2.1	727.67		
817059	2.16.840.1.113883.6.5.2.1	375.15		
3889054	2.16.840.1.113883.6.5.2.1	144.9		
263056	2.16.840.1.113883.6.5.2.1	255.3		
6744053	2.16.840.1.113883.6.5.2.1	663.50		
9556092053	2.16.840.1.113883.6.5.2.1	374.87		
948053	2.16.840.1.113883.6.5.2.1	416.8		
1975053	2.16.840.1.113883.6.5.2.1	787.6		
4564055	2.16.840.1.113883.6.5.2.1	250.10		
7311054	2.16.840.1.113883.6.5.2.1	746.3		
8024058	2.16.840.1.113883.6.5.2.1	845.09		
